,neg,neu,pos,compound
i have a dell u3818dw monitor 38 the native resolution is 3840 x 1600 60hz this seems to be not quite 4k but higher than 1440 and stuck at 60hz would an rtx 3070 be enough to run most games maxed out at my native resolution and refresh rate just a little confused if i really need an rtx 3080 thanks for the great review,0.071,0.794,0.135,0.7572
it really is a great time to be a gamer it really is that aged well,0.0,0.649,0.351,0.7564
hey i was just wondering if the 3070 would be good for my pc which is an hp pavilion with i think 16gb ram amd ryzen 7 1700 processor and a radeon 550 rx 4gb graphics card i was thinking of buying the card tonight so i would like to hear your thoughts if i should get a new pc or if this pc i already have would be fine,0.0,0.886,0.114,0.7564
unlike 10 and 20series 30series 3080 looks a lot better than 3070 for its price they have very close priceperformance despite the price difference 3080 really is an impressive piece of tech,0.0,0.818,0.182,0.7553
beautiful words at the end about upgrading thank you,0.0,0.522,0.478,0.7506
i love waking up to a gn video 3,0.0,0.385,0.615,0.7506
i guess 3070 is not quite the 2080 ti killer for the most part but looking at the promises vs reality ratio we saw with 3080 makes it no surprise to anyone still seems like a pretty decent upgrade for my 1060 6gb its been kinda slow the only problem being in my country even the cheapest partner models of these cards cost over 600 euros and there is no fe version here definitely will wait for the new radeon cards to see if retailers will be less scummy with those or if by then prices do normalize a bit,0.101,0.752,0.147,0.7469
at this point im almost convinced that creative assembly made three kingdoms just so gamersnexus can show us some cool graphs,0.0,0.71,0.29,0.7464
just got my 3070 fe from microcenter and should be setting it up tomorrow super excited,0.0,0.69,0.31,0.743
this is the first video im watching and i gotta say i love the energy 3,0.0,0.636,0.364,0.743
hey wow nobody can get their hands on these cards like very very few and by the time they are widely available they new 4000series will launch,0.0,0.799,0.201,0.743
they dont have plans to scalp their own product with the 3070 like they did with the 3080 in fact the latter card will see about 300000 units pumped into the market here shortly units that they had packaged on palettes back on september 17th with no intent to ship they wanted to see what amd was up to they wanted to see if they needed a quick refreshsuperti variant waiting in the wings they wanted the voucher program with aib partners to expire while leaving them hanging in several other areas as well and they wanted to drive hype so high that they push a large percentage of the consumers into impulsebuy mode even if the prices go up 20 people are sheep and will absolutely forgive nvidia and buy the things thus nvidia will never be forced to do things differently next time,0.015,0.922,0.063,0.7409
1605 these gaming charts are always valuable sitting on a gtx 1070 currently and really taking a hard look at the 30703080 since i was planning on building a new system this holiday season really will be interesting if big navi can be disruptive,0.083,0.727,0.191,0.736
for the mosfets it would be appreciated if you could provejustify that the vbios target thermals are actually unsafe for the card long term rather than just suggesting that nvidia could improve upon them,0.0,0.838,0.162,0.7351
the 3070 is the perfect 1440p card just like the 1070 and the 2070 before it,0.0,0.693,0.307,0.7351
seems like the perfect card for meee seeing as im not planning on get a 4k monitor for a whilleee and for the moment im still using a 1080p monitor until yk i get a 1440p,0.0,0.824,0.176,0.7351
the takeaway is that the 3070 is currently a paper launched like all the others and therefore overpriced 1440p card and dont think its quite a good enough upgrade from the 1080ti if youre trying to game at 4k not enough frame head room to go the distance youre right on the edge and thats with last gen games,0.0,0.882,0.118,0.7346
please dont waste your money proceeds to recommend 3070,0.0,0.457,0.543,0.7296
wouldnt be a waste for me xd im using a gtx 1550,0.0,0.566,0.434,0.7296
did nivida see the writing on the wall and thought to try and get the cards out and help break the market ice by lowering card prices i mean i am sure the price lowering was from multiple issues like adm new cards and solidify its place in the marektect but damn it feels like theyve gone out their way price wise,0.092,0.73,0.178,0.7269
im smart im still using a 970 on a 1080p monitor and it bloody works when i get a 3070 it will look like an actual upgrade anyone upgrading from a 20 series is a mong xd,0.075,0.694,0.231,0.7269
i dont need native 4k 1440p dlss to 4k w ray tracing is good enough for cyberpunk for me leaving microcenter w 3070 fe in hand,0.0,0.775,0.225,0.7269
hey first time watcher here i really liked what i saw subscribed one suggestion add the bookmarks to the different parts of the video that a lot of the other creators are using now i very much appreciate it when they re present,0.0,0.859,0.141,0.7245
interesting thank you this is the card i wanted to see its at the top of my price range im not loaded,0.0,0.72,0.28,0.7184
i play triple a games like d2 cod siege battlefield etc this card is perfect for that,0.117,0.495,0.387,0.7184
lol i alway enjoy watching your videos,0.0,0.4,0.6,0.7184
a very nice replacement for my good ol 970 will wait till tomorrow to see whats amd is holding up on their sleeves,0.0,0.769,0.231,0.7178
im building a pc with a 3070 and by the next year i will be able to buy all the components so its nice to see that the 3070 still is and will be a good gpu,0.0,0.838,0.162,0.7165
theyre going to be available tomorrow so excited had money saved up just for this and i also got an upgrade on my cpu 3 months ago,0.0,0.795,0.205,0.711
can you tell us how the thermals are in the nzxt h1 i realize the 3080 didnt fair well but curious about the 3070 thanks,0.097,0.674,0.229,0.7106
what i want to know is if the 3070 is still good i already have one and am interested in the 4000 series is that a big enough leap in performance to justify the big jump in price,0.0,0.823,0.177,0.7096
great review i wish i could buy this one for recommended price 499 bucks damn you crypto miners,0.116,0.515,0.369,0.7096
congrats nvidia you didnt put an x06 class chip in a 70 class card at launch w o w its like other caught on to over undering the market,0.0,0.796,0.204,0.7096
the rtx 3070 is in line to be the mid range king im most definitely in the market for one and i hope i can get one before the end of the year,0.0,0.831,0.169,0.7089
your content and delivery is getting better and better keep it coming,0.0,0.633,0.367,0.7003
as of now i think i will just keep my evga ftw2 1070 unless amd comes out with something better or a 1080 ti ftw3 has a good price,0.0,0.799,0.201,0.7003
so do think that there will be a good amount available also when are aib versions available thanks,0.0,0.721,0.279,0.7003
so i ve decided to make the switch from console to pc i ve never build a pc before and with all the new tech stuff coming out it s pretty exciting and somewhat confusing i have somewhat of an idea where to start,0.037,0.818,0.145,0.6997
teardown countdown begins i like the look of this cooler a lot more but there s a lot of plastic impeding airflow from the looks of the brief shot we got at the start of the video the straightthrough cooling at the back should be of benefit though,0.0,0.88,0.12,0.6956
fantastic review this channel is a definite sub for me looking forward to seeing more,0.0,0.678,0.322,0.6908
pretty much gonna get the same pc build tho should i get the i7 9th gen or the i5 10th gen i do play high cpu games like red dead and cyberpunk when it comes out thanks,0.095,0.662,0.243,0.6908
lmao since nvidia decided it wanted to make a lot of 1080 tis but we havent seen that emerge with the 30 series thats comedy gold right there specs and roast all in one,0.0,0.845,0.155,0.6908
feels like this launch is pretty much just gifting amd where to price the 6800 and how much to undercut the price of a 3080 with the 6800xt,0.0,0.814,0.186,0.6908
if it makes you feel any better i watched yours before i watched linuss lol,0.0,0.659,0.341,0.6908
this monitor that you were on playing on in this video is magnificent what is the reference of it,0.0,0.749,0.251,0.6908
these founders edition cards look like oversized vhs cassettes pretty soon graphics cards are gonna be the size of a mini atx case sheesh,0.0,0.787,0.213,0.6908
trying to get asus dual 3070 oc tomorrow wish me luck,0.0,0.612,0.388,0.6908
was thinking about going from 970 to 3070 or 3080 next year for my 5 year old pc but the thought of needing to plonk more money into a beefier psu and stuff and see a climb in my total budget is kind a putting me off 3080,0.0,0.903,0.097,0.6808
really hoping i can get my hands on one this time till be ready,0.0,0.663,0.337,0.6801
very nice i like rtx 3070 ill buy it thank you,0.163,0.349,0.488,0.6779
the 3070 looks like the 3080s cute baby and look it still has its umbilical cord attached 3,0.0,0.732,0.268,0.6705
218 if you can fit the 2080 then the 2070 should be no stretch at all instead of 3070 love the vid tho,0.076,0.692,0.232,0.6705
i just got a new pc with one of these cards in it it runs msfs 2020 in 4k fantastically well couldn t be happier with it,0.0,0.8,0.2,0.6705
already running a 980 and its still a very competitive card for modern gaming even vr and nextgen titles at med to high settings i wanna an upgrade though for smoother play on triple monitors or for aaa games or playing more demanding vr games like saints vs sinners or even halflife alyx anyone else upgrading for similar reasons,0.035,0.824,0.14,0.6705
rtx 3070 best future proof card for 1080p with ray tracing at ultra for the next 5 years biggest challenge how to get one,0.0,0.792,0.208,0.6705
i honestly needed a card with better thermals i have 2070s ventus oc which is kind of a toasty girl i changed thermal pads after a couple of years of use a hotspot still hits 97100℃ pretty sure one of the cooler stands got damaged by me and it slightly prevents doing a perfect squeeze between a cooler and die so i got 3070 ichill x3 three fans triple slot design i hope itll run cooler and it will also be an upgrade should have undervolted 2070s or ordered a new cooler but hey youll live only once,0.047,0.817,0.137,0.6675
i like how the difference between vulkan and directx12 is increasing in favour of vulkan,0.0,0.69,0.31,0.6597
with only 8 gb of vram on the 3070 a used 2080ti looks like a much better buy,0.0,0.707,0.293,0.6597
i upgrated 2 months a go from an old gtx gigabyte 1070 to an msi rtw 3070 2x ventus for 1440p gaming and its really great paired with i5 12600 i had an gtx 1070 with i5 7600,0.0,0.883,0.117,0.659
as a casual consumer most of this goes in one ear and out the other which is probably to be expected but i really appreciate the depth of information you provide in these reviews,0.0,0.848,0.152,0.6586
if you are happy with the video card you have now there is no reason for you to upgrade just because something new came out hold on to it make the cards that you have last as long as you can and then upgrade when it really truely makes sense because you are unhappy with the performance you have is a good statement i have been running a pair of gtx660 cards for a few years now though have been thinking of upgrading to a pair of 1650 or similar i run two cards due to having a lot of monitors i dont run sli though some workstation tasks i work with could really make use of some more modern gpus but main reason i am interested in upgrading is to reduce system power consumption gets a bit toasty in summer,0.026,0.917,0.058,0.6542
it would be nice to have some indication of performance in msfs 2020 there must be many people like me looking to upgrade purely because of this game,0.0,0.831,0.169,0.6486
if the 3070 is still a little overkill for your typical 1080 1440p gamers what other card would you recommend that would be less expensive id prefer something from nvidia because id like to stream and want to use the encoder built into some nvidia cards so i am not maxing out my cpu,0.0,0.886,0.114,0.6486
nice video are you going to do a itx build like nzxt h1 for this gpu,0.0,0.71,0.29,0.6486
nice marcus are you doing a ps5 unboxing video too like the others,0.0,0.654,0.346,0.6486
nvidia recommended reviewers not to test at 4k lmfao,0.0,0.569,0.431,0.6486
can you look into nvidias oc scanner on these ampere cards itd be very interesting to see how the easiest overclocking option compares to the limited manual option this generation especially on cards like the rtx 3080 tuf or ftw3 with a good deal of thermal headroom but not much for power,0.026,0.834,0.14,0.6461
there are barely any games that utilize more then 8gb vram anyway so im not worryd besides i dont see a significant difference between 1440p and 4k i think a higher and constant refresh rate is more important then ridiculous high resolution but the 3080 is still about 20 to 40 faster and that is definitely worth paying 200 more,0.052,0.828,0.121,0.645
i got the venus msi 3x oc rtx 3070 and im glad by the results but it feels like an overkill,0.0,0.774,0.226,0.6428
love how the asus tuf is just decimating everything in relevant performance metrics for gamers,0.0,0.769,0.231,0.6369
would love to see some production benchmarks next time,0.0,0.656,0.344,0.6369
for me its the physical size for my case not power since i have a 750 psu a three3 fan card is just too large length and depth thanks for the review,0.0,0.839,0.161,0.6369
with this kind of performance for 499 the 3070 will be the best selling card since cards first became available,0.0,0.819,0.181,0.6369
starting to think that for 200 more the 3080 is best bet,0.0,0.724,0.276,0.6369
always the best reviews and you never have to break nda early d,0.0,0.724,0.276,0.6369
you should have put the cpu coolers fan on the right side better airflow,0.0,0.698,0.302,0.6369
in terms of thermals what would be the best gpu for nzxt h1 case 2080ti 3070 rx 6800 mostly doing rendering,0.0,0.826,0.174,0.6369
the best video card is the one you already have and dont have to wait for,0.0,0.781,0.219,0.6369
wish i can build a pc with a gpu like this before my birthday,0.0,0.634,0.366,0.6369
would love to see a dx11 vs vulkan percentage chart for rainbowsix siege,0.0,0.724,0.276,0.6369
i wish the fans were facing upwards and the geforce light was actually a light like the 308090,0.0,0.729,0.271,0.6369
can you please do a build with the new ryzen cpu with the 3070 thanks,0.0,0.698,0.302,0.6369
i love watching things that i cant buy because its out of stock,0.0,0.704,0.296,0.6369
it hurts my soul to see the 1080 on these charts but at the same time its good to see an upgrade is finally worth it,0.066,0.736,0.198,0.631
its the 28th october so what does this dont waste your money really mean its also amd skirmish release with nice graphs and spectacular amd results,0.0,0.824,0.176,0.6288
great channel msi rtx2080ti owner here with an added bios and an ek waterblock i cant justify the upgrade to the 3xxx series,0.0,0.837,0.163,0.6249
how about adding video editing tests with these gaming tests like how these cards stack up on davinci resolve where gpu ram and cores might mean something,0.0,0.831,0.169,0.6249
this thing is going to be great for sff builds,0.0,0.687,0.313,0.6249
great job as always,0.0,0.423,0.577,0.6249
theres something about those 8gb of gddr over the last three 70class generations making this card unappealing for me albeit great performance and tdp if i had 500 bucks to burn now less than a year old 2080 ti would be my choice,0.0,0.907,0.093,0.6249
gn has nvidia said what type of surface coating they are using on the aluminum heatsink if not could you possibly ask next time you ask other questions thanks,0.0,0.841,0.159,0.6249
i got a zotac twin edge oc it easily pushes 2040mhz boost without touching anything,0.0,0.683,0.317,0.6249
sensibly priced at 1k on ebay a great deal for your mid range 3k pc in 2021,0.0,0.785,0.215,0.6249
great review your an underrated youtuber,0.0,0.549,0.451,0.6249
great my case vga height limitatio is 110mm and only pc park picker has listed the 3070 fe only,0.0,0.814,0.186,0.6249
3070 is a great card,0.0,0.423,0.577,0.6249
i thought the 3070 was amazing until yesterday ill take a 6800 cheers,0.158,0.452,0.39,0.6249
gn has better order back order and customer service system than nvidia ooof,0.0,0.683,0.317,0.6249
great video subscribed,0.0,0.328,0.672,0.6249
he says that so he can buy them in bulks and scalp resell them 3070 is a good card with a good price point anyway yeah a lil joke but this card rox,0.0,0.785,0.215,0.6249
i bought mine for msrp on the release date i upgraded from a gtx 970 absolutely brilliant card for the price,0.0,0.806,0.194,0.624
so im still unsure im waiting as long as i can though and being smart currently i am deciding between the 3070 and the 3080 and im looking to get 144 fps on a 2560x1440 widescreen monitor i hear people saying the 3070 is a no brainer for 1440p but can it actually achieve around 140 fps consistently im mainly looking at playing games like cyberpunk and others similar to it,0.045,0.853,0.102,0.621
soo should i wait for the 3060ti for a good 1080 1440p card i currently have an rx5700 but its not keeping up very well,0.0,0.799,0.201,0.6174
on a slightly different topic thank you for being one of the few uk reviewers out there its genuinely nice to hear someone mention pounds instead of dollars,0.0,0.832,0.168,0.617
thanks ill wait for rtx 3070 super,0.206,0.294,0.5,0.6124
i upgraded from gtx1070 strix to rtx3070 strix last month pairing with my r7 5800x im very happy with the performance,0.0,0.826,0.174,0.6115
i was using 1080ti since 2 years upgraded recently to 3070 and very happy with this decision,0.0,0.778,0.222,0.6115
so happy we can get for them 400 dollars now,0.0,0.693,0.307,0.6115
i wont even bother try and buy one of those still in queue 370 after almost two months of pre ordering 3080d just going and hope for big navi now,0.0,0.845,0.155,0.6041
yeah as a current 970 owner an evga 3070 is definitely in my futurehopefully sooner rather than later,0.0,0.754,0.246,0.5994
do a review on the super cheap oloy rams,0.0,0.642,0.358,0.5994
congratulations on getting the only 3070 in the country,0.0,0.672,0.328,0.5994
this or 2070 super for first pc,0.0,0.606,0.394,0.5994
ryzen 5 1660 super,0.0,0.339,0.661,0.5994
those are the most sophisticated tests i have seen on any graphics card review on youtube,0.0,0.782,0.218,0.5984
sold out within half a second so glad they pushed the launch back to stock up s,0.0,0.784,0.216,0.5949
i mean its the only 3070 at a reasonable price atm so glad my mate was able to score one for me,0.0,0.831,0.169,0.5949
if i can find msrp rx6800 i guess i would not buy 3070 but anyway 3070 is good enough,0.0,0.796,0.204,0.5927
im still going with a 3070 over waiting for amds cards to release its cheaper and provides amazing fps in games at 1440p so no reason to get anything better or more expensive,0.074,0.752,0.174,0.5905
centric dont waste your money also him trows the graphicard like a toy,0.0,0.674,0.326,0.5903
thank you for being objective on this review tpu was so incredibly sensationalist in their conclusion calling the card a huge achievement and a work of art,0.0,0.827,0.173,0.5859
you should look into adding an nvlink to the 3070 sli 3070 vs single 3090 wouldve been amazing,0.0,0.817,0.183,0.5859
wow most indepth review of this card ive seen,0.0,0.678,0.322,0.5859
i have the rtx 3070 and this card is amazing specially the upscale for ray tracing compare to turing is a miro al worker,0.0,0.847,0.153,0.5859
me being old i always find that hearing my fan just reassures me that my gear is still working,0.0,0.769,0.231,0.5859
hei steve saw the 3070 pcb its very short for that much performance any plan to try use a compact cpu cooler like the noctua l12 to cool that 3070,0.0,0.849,0.151,0.5859
amazing cant buy it anywhere in europe,0.0,0.612,0.388,0.5859
the amd cards are gonna be amazing arent they everyone is talking about them in a very coy way,0.0,0.817,0.183,0.5859
what is that cyberpunk style mice you got there xd,0.0,0.703,0.297,0.5859
hopefully my r5 3600 works well with my rtx 3070,0.0,0.625,0.375,0.5859
okay thanks i have to upgrade my monitor then i mean when ill have the money for it lol,0.12,0.556,0.325,0.5859
those phanteks fans looking gorgeous and in my country they arent even that expensive can you proofe if their performance is solid i dont want to buy good looking fans with bad performance btw im following you since a few weeks keep the videos going,0.092,0.742,0.166,0.5828
ageofbogyo yeah thats what i thought you have to pay the same amount for the gpu and the cpu for not bottlenecking awesome ill just buy a 2070 super then,0.13,0.637,0.233,0.5773
there is a pretty interesting contrast between the thumbnail of the video and its title very confusing actually,0.099,0.634,0.267,0.5729
most technical reviewer on yt wonderful work steve,0.0,0.654,0.346,0.5719
ordered mine this morning its perfect for what i need,0.0,0.684,0.316,0.5719
i think the 6800 if the benchmark are fine is going to be better than the 3070 the 3070 can not beat the 2080ti,0.0,0.817,0.183,0.5719
remember when 30fps was what necessary to be happy with gaming performance the 1080 should still be relevant for modern games,0.0,0.844,0.156,0.5719
i am destiny 2 mostly and this is perfect gets double the fps of my rx 590 though i had to get this under clocked dell oem model,0.0,0.866,0.134,0.5719
so 3070 2080ti and 6800 non xt 2080ti then amd wins,0.0,0.73,0.27,0.5719
im in the process of saving for a new build im hoping to get a 5600 or 3700x on a msi apro b550 motherboard 16g corsair vengeance 3600mhz do you think its worth trying to get a 3070 over a 5700 xt,0.0,0.882,0.118,0.5719
perfect for ultrawide,0.0,0.351,0.649,0.5719
i am have 3070 and i am happy with it works batter than u as a person,0.0,0.764,0.236,0.5719
i am pretty happy with my 5700xt the only things i dont like about are that some programs i would like to use need cuda cores specifically so i cant use them and amds drivers are kind of spotty,0.1,0.736,0.164,0.569
hi everyone im a newbie at pc building so i would like to ask your opinions on what im planning to buy and maybe some tips on what is bestunnecessary overkill gpu rtx 3080if stock allow or radeon 6000 series if price and perf is about the same cpu amd ryzen 9 5900x monitor asus tuf gaming vg27aq,0.0,0.919,0.081,0.5688
i have a ryzen 7 3800x and the 3070 founders every game i play works perfect but when i play warzone my cpu is at 4050 and my gpu is at 10 but i don t have any stutter runs smooth,0.063,0.757,0.18,0.5647
hey steve it would be really interesting if you could do ultrawide screen benchmarks someday ultrawides are in a weird position where they have more pixels than 1440p displays but less than 4k its really hard to figure out which card is the sweet spot with an ultrawide,0.065,0.821,0.114,0.5584
seems like a reasonable upgrade at 1440p for a 1080 owner as well,0.0,0.662,0.338,0.5574
on 227 r u sure that black fan on the cpu cooling tower connected on the correct side of the radiator it seems its sucking dust inside the chassis whereas it supposed to do opposite,0.0,0.871,0.129,0.5574
hey anyone know where i can get a replacement fan ffc cable that runs from the fan to the pcb mine got rekt and nvidia wont send me a replacement,0.0,0.845,0.155,0.5574
ps5 £45000 vs rtx 3070 £50000 plusoh wait you mean i need the rest of a pc stick the rtx 3070 before i can use it yet again its an overpriced gpiu at an out of stock retailer near you i pray amd bring competition to this stagnant market intel has and look at the core improvements seen,0.0,0.919,0.081,0.5574
this channel is getting much more fun than before,0.0,0.69,0.31,0.5563
why do people say stuff like this card is too much for 1080p gaming   do you think that people who want to play rdr2 at 1080p are not worthy of good frame rates that in your mind they should buy a card based on other titles not demanding titles like ac rdr2 gr breakpoint horizon zero dawn or metro exodus or the new upcoming titles over the next two years,0.062,0.803,0.134,0.5505
benchmark rust i guarantee that thing can t run like 144 fps at 1080p max settings,0.0,0.727,0.273,0.5423
yeah 8gb of vram was cool back in 2016 when the frigging 1070 came out,0.0,0.743,0.257,0.5423
i just picked up an msi sprim 3070 and i could not believe how far i was able to go on my core clock with over clocking i have never in all my years every been able to overclock a card as hard as i have with this card nearly a 20 fps boostsometimes more in other titles i turned my 3070 into a 3080 for a fraction of the price xd,0.021,0.92,0.058,0.5267
on a tangent question how well does the dark rock 4 cool a 10900k beast cpu compared to a 240 or 280 aio,0.0,0.794,0.206,0.5267
yay more vaporware reviews,0.0,0.469,0.531,0.5267
yay for more paper launches,0.0,0.541,0.459,0.5267
yes great review as always but will we actually be able to buy one anytime soon,0.0,0.761,0.239,0.5267
its a good card pretty close from the 2080ti for less than half the price yet as steve said its difficult to see where it falls without comparing it with the competition although its poor availability will make everyone wait long enough lol,0.109,0.718,0.173,0.5106
kudos to gamers nexus for standing up for partner cards,0.0,0.732,0.268,0.5106
a lil blender with optix render time would be much appreciated,0.0,0.732,0.268,0.5106
hooray for paper launch v20,0.0,0.548,0.452,0.5106
im just gonna stick with my 1080 for years to come ive been playing a lot of old steam games lately anyway or games like among us and fall guys,0.0,0.863,0.137,0.5106
watching this while i workout because nerds can get strong too,0.0,0.732,0.268,0.5106
been a console gamer all my life looking to build my first gaming pc i m a complete rookie looking to spend about £800 any advice is appreciated,0.0,0.875,0.125,0.5106
any chance you could do an ultrawide focused video for the 30series cards ray tracing and dlss focused im looking at a 3070 for 3440x1440 im so worried ill wish i got a 3080 for that extra lil bit of oomph,0.124,0.665,0.211,0.4971
for those that are on the edge about buying the mouse pad its the nicest mouse pad i have ever owned buy it,0.0,0.868,0.132,0.4939
i want to game cyberpunk at the highest settings smoothly at my 27 1440p monitor with ray tracing enabled would you say the 3070 would suffice or would the 3080 be a better choice,0.0,0.877,0.123,0.4939
most people are going to play at 1440p or 1080p 610 my deadass still playing on 768p,0.0,0.781,0.219,0.4939
saw the name and thought you were going to say it s bad but free watching the vid i m still going for it,0.088,0.739,0.173,0.4939
of course you could edit in 6k most editing is cpu bound if you have a 3950x or 5950x you can pretty much edit anything,0.0,0.878,0.122,0.4939
this was a really good review very thorough,0.0,0.653,0.347,0.4927
cards so good even the sentient flying dust spec makes an appearance 251,0.0,0.79,0.21,0.4927
is it worth upgrading if you still have a gtx 1070 or should i hold off awhile before supplies become more available granted i still only game at 1080p and im rocking a i7 6700k i planned on getting a ryzen 5800x as my next cpu,0.0,0.901,0.099,0.4902
just get the rx 6800xt for 550 it s so much better,0.0,0.759,0.241,0.4902
yeah it would be great but its almost impossible to get one i tried to get one at launch and was unable to,0.0,0.828,0.172,0.4854
so its 2080ti for half the price a lot smaller with lower power draw and improved dlssits ok by me,0.094,0.681,0.226,0.4767
i am proud to say that i am addicted on gamers nexus,0.0,0.744,0.256,0.4767
now that the rtx 3070 has been lanced it is clear that it is an ebay exclusive and cost twice as much as nvidia claimed,0.0,0.849,0.151,0.4767
must be a relief for 2080ti owners that they can just oc and beat this card by almost 15 fps,0.0,0.853,0.147,0.4767
just know that i see what you have done steve and im proud,0.0,0.78,0.22,0.4767
guys my 2080ti fe on watercooling is 27 faster than a rtx3070 fe yes 27 i get 17400 graphics score in timespy if you think a 3070 can match a 3080ti your crazy lol because a rtx3070 manages around 13600 even a rtx3080 fe gets 17800 stock,0.052,0.828,0.12,0.4767
noise normalized thermals isnt a good test unless its about sound vs thermal only blower designs are always noisier just because of the shape of the cooler id trade of noise for a blower design that would help ventilate my case preventing fans from ramping up in the first place it would be better to normalise this to air flow rate instead,0.054,0.86,0.086,0.4756
very nice card if you can find it at the retail price,0.0,0.781,0.219,0.4754
3070 with 3600x high settings 2k pretty good for me always go for xx60 past 4 gens prob gonna go 4070ti next year but this year gonna upgrade to am5 with ram cpu and powersupply,0.0,0.888,0.112,0.4678
so 2080ti better than 3070 unlike what people were expecting good pricing tho but it gonna change once rx 6000 comes out,0.0,0.832,0.168,0.4659
im interested in how you got the pressure maps like what is the equipment you used,0.108,0.637,0.255,0.4588
the 3070 looks cute next to the 3080,0.0,0.7,0.3,0.4588
amd rx 6800 for £446 that will compete with a 3070 overclocked will be near or on par with a 3080 i know what im gettting also this is good new for the silly used market and all those overpriced 1080s and vegas,0.0,0.905,0.095,0.4588
microcenter will not be doing pre orders or online orders for these walkin first come first serve thursday 9 am est they updated their website a couple hours ago to reflect this im camping in my jeep until then and initialized the line got jerkey trail mix and bottled water for days fully justified coming from a gtx980,0.0,0.947,0.053,0.4576
where is that tear down video im really interested to see whats under the hood of these 3070s,0.0,0.85,0.15,0.4576
hey thanks for including the 1070 in the gaming benchmarks,0.0,0.756,0.244,0.4404
hello i really need to know if my specs could handle the 3070 or maybe its better to get a 2080 or something these are my current specs amd ryzen 3600x b450 tomahawk 16gb ram 3200mhz,0.0,0.919,0.081,0.4404
823 2025°c on a graphics carddamn i thought the coolers were better than that,0.0,0.791,0.209,0.4404
would be funny to see ps5xbox series x in those charts d,0.0,0.756,0.244,0.4404
is the gigabyte version better than the founders edition,0.0,0.734,0.266,0.4404
then it will be a good upgrade from my 1050ti to 3070,0.0,0.775,0.225,0.4404
do you think its good for streaming,0.0,0.674,0.326,0.4404
3070 isn t much better than a 2080ti both get just 30fps on msfs2020 in 4k,0.0,0.818,0.182,0.4404
got an fe 15 minutes ago on bestbuy if the 1440p performance doesn t impress me i mma return it and get a big navi,0.0,0.879,0.121,0.4404
does anyone know if this would be a good upgrade from a 550 ti,0.0,0.791,0.209,0.4404
which is better rtx 3080 or 3070 or 3090,0.0,0.734,0.266,0.4404
better then gtx 1600 right,0.0,0.58,0.42,0.4404
im getting a gaming pc with an rtx 3070 i7 16gb ram and a streaming pc with an i7 16gb ram and a 2060 are those good pcs,0.0,0.892,0.108,0.4404
i have a gtx 1070 and upgrading to an rtx 3070 can i just replace the cards or have to do anything with drivers thanks,0.0,0.879,0.121,0.4404
titles like these make me want to unfollow youtubers you have good content but why resort to click bait for views,0.0,0.788,0.212,0.431
can t wait for the big navi review hoping to get my hands on one on launch,0.0,0.843,0.157,0.4215
its almost two years later and i feel lucky to have just picked one up at msrp,0.0,0.843,0.157,0.4215
going from a 1080ti i want 2k 144fps i achieved about that looks like the 3070 would be 15ish faster and the 3080 about 25 which gpu would yall reccomend,0.0,0.868,0.132,0.4215
i aint got the facilitys for that one big man i see your a man of culture lol,0.0,0.833,0.167,0.4215
nice cant wait for 2022 when i can actuslly get my hands on one,0.0,0.811,0.189,0.4215
nice review,0.0,0.263,0.737,0.4215
i wonder what 2080tis are priced at now 600 lol,0.0,0.741,0.259,0.4215
lol i got that same mouse pad it s massive,0.0,0.714,0.286,0.4215
9 views 12 comments lol,0.0,0.517,0.483,0.4215
lol centric has spat on everyone including me who uses 1080p,0.0,0.781,0.219,0.4215
i literally have rtx 3070 for my first gaming pc ever and i only have a hp 27 60 hz monitor lol,0.0,0.865,0.135,0.4215
could you benchmark vr games on the 3070 too very keen to see how half life alyx fares,0.0,0.859,0.141,0.4201
i really like your style your voice and the things you focus on with the camera first of your videos i watched and i just knew i had to sub,0.0,0.9,0.1,0.4201
using my gamers nexus mouse pad while watching can highly recommend it,0.0,0.798,0.202,0.4201
i am a little confused the 3070 has less rt cores than the 2080s if so how is it achieving a higher fps in rtx minecraft i mean i assume its because of the extra cuda cores but still feel like that cant be the full answer if it is then is this pointing to rt cores actually being kinda irrelevant in ray traced games,0.024,0.924,0.052,0.4111
every time i see a total war benchmark my soul dies a little still its great to have my favored title be in the benchmarks,0.132,0.643,0.225,0.4091
i love that youre not just like wow buy this now like some others i do want to experience ray tracing in all its glory when cyberpunk releases so i will have to get off the 10 series sometime soon,0.154,0.656,0.19,0.4035
ive decided i am very jaded about nvidia and this card it keeps getting marketed as faster than a 1200 card and wow what a deal its only 500 meanwhile nobody is complaining that this segment is retaining the same turing price hikes midrange xx70 card in the 500600 range yeahwhat a win s we said that was stupid with turing and suddenly its ok with ampere i dont get it,0.105,0.767,0.127,0.4033
damnthats a pretty sweet mouse mat design too bad it doesnt come in a white theme i wouldve 201 backorder it for myself,0.131,0.637,0.232,0.4019
ah yes the one rtx 3070 review ive actually been waiting for rather than those other ones that spammed my inbox,0.0,0.881,0.119,0.4019
i definitely got a golden sample with my 3070 fe 140 core 1100 memory and barely cracks 63c while gaming,0.0,0.863,0.137,0.4019
i plan on building my first gaming pc with nvdia gpu and i want to play at 1440p around 144hz should i go for 3080 or 3070,0.0,0.856,0.144,0.4019
