,neg,neu,pos,compound
1 when trump realized he had lost and he did realize he lost he abruptly ordered withdrawal of troops from somalia and afghanistan by jan 15 to set biden up for a global crisis the minute he took office fortunately dod stopped the order hey all you mags is this how a,0.19,0.79,0.02,-0.8591
ffs we do not have open borders over 250k people have been deported back to their home countries those that are coming in have legal grounds for asylum im getting sick and tired about open borders the policy hasnt changed from the trump administration still using title 42,0.18,0.793,0.027,-0.8591
thats it im suing trump for 5 years of mental torture and his relentless pursuit of the complete destruction of this democracy,0.348,0.609,0.043,-0.8591
rico crime act will seize all trump properties the don is finished will the children join him in prison melania gop party is finishednothing to salvage how many in the gop will join trump in prison postpone the fall electionsget the criminals out 1st,0.267,0.612,0.121,-0.8625
poor donald trump was embarrassed that he lost so he lied and said he won it was a blow to a narcissist who could not accept reality because it would be too embarrassing,0.36,0.555,0.086,-0.8709
i get so thoroughly pissed off when i watch nancy pelosi schumer and other actual leaders oozing fear as they work diligently to right the ship on 16 this nation will not accept anything less than trump spending his last days in confinement after he is convicted,0.195,0.805,0.0,-0.8794
are you drunk your brand doesnt allow you to criticize trump world youd lose your fans and sad that you cant really assess reality what do you tell your kids daddy lies for money and fame,0.324,0.615,0.061,-0.8851
trump attacked biden on his handling of afghanistan but when trump found out he lost to biden trump was about to do a rapid withdrawal from afghanistan somalia but trumps attempted withdrawal provoked a collapse in afghanistan which was negotiated by him his admin,0.237,0.717,0.046,-0.891
the pundits and academics shrieked in endless opinion pieces about the various alleged threats trump posed to america and possibly hurling us into war theyre entirely silent about bidens cmon man demagoguery as he hurls us into literal war now you know the face of cowards,0.198,0.802,0.0,-0.891
doj is going to have to put a foot in trumps ass wtf is holding up search warrants for all trump properties who is in charge of trumps stealing top secret files case wake up why are you letting him off the hook get tough #voteblue,0.23,0.737,0.033,-0.8934
this irrational fear and hatred blocks rational thought which is making you think you are standing up for what you believe in which is why people remain in the cult of trump and will defend trumpism over anything else,0.251,0.749,0.0,-0.8934
on january 6th 2021 at 224 pm as invaders broke into the building where his vp was trump tweeted mike pence didnt have the courage to do what should have been done no reasonable person could look at that and say that trump holds no responsibility for the riots,0.23,0.77,0.0,-0.9028
fox news is carrying on about nancy pelosi advocating violence by wanting to punch donald trump on jan 6th for inciting the violent riot you cant make this up,0.309,0.691,0.0,-0.9118
trump boobytrapped america on his way out and he and republican traitors and rightwing media worked nonstop to foil the real us government everyday since ignoring his insurrection lying about vaccines blaming inflation and putins war on biden refusing to legislate to help,0.286,0.665,0.049,-0.9217
1 breaking news pelosis jan 6 committee failed miserably it found not a shred of evidence tying president trump to any kind of insurrection or violent attack on the capitol building,0.358,0.642,0.0,-0.9246
our country is in bad place right now crime is rampant foreign policy is non existent americans are financially hurting while the resident in chief blames everyone but himself or his puppet masters what in the hell is he doing for you anyone or is it just trump,0.253,0.747,0.0,-0.9274
unpopular view had trump got a 2nd term there wud have been no russia ukraine war inflation wud not have raised its ugly head and europe cud have avoided recession,0.378,0.622,0.0,-0.9274
why are republicans magas christian nationalistor whatever youre calling them mad at nancy pelosi for saying she will punch trump and go to jail but arent mad at trump for plotting a fucking coup and leaving all senators house representatives and the vp to be killed,0.231,0.769,0.0,-0.928
fuck donald trump fuck him for putting the country through this and fuck the for enabling him fuck all of you ,0.452,0.548,0.0,-0.9325
roger stone calls ivanka an abortionist bitch trump calls elaine chao coco chow tommy tuberville suggests black people are responsible for all crime kanye west threatens to go death con 3 on jews not a single republican has condemned these bigots not a single fing one,0.298,0.661,0.041,-0.9371
we cant have the lie that biden didnt win the election perpetuate endlessly trump is now an alternate reality and a propaganda machine promising to run a renegade movement built on lies that undermine the us government and have already fomented violence and death and an attack,0.348,0.608,0.044,-0.955
can someone tell me the one very reason why donald trump has not been indicted risk of civil war he attempted to kill your democracy what crime could be worse than this historic felony,0.385,0.577,0.037,-0.9577
how many millions of our dollars have been wasted on getting trump they have nothing but opinions and hate we would be great again right now with a secure border and money in our pockets and no war by putin stop the damn hate already look whats been done bc of it,0.345,0.542,0.113,-0.9581
donald trump the level of hate and disrespect i have received from the democrats and their loser voters over these last 7 years has been absolutely ridiculous no other president has gone through this kind of harassment before,0.387,0.613,0.0,-0.9582
the nancy didnt call the guard stuff is lies but even if it was true since when do we need to protect our capitol from the sitting president and his violent militias confederates and hate groups wheres the outrage about trumps terrorist attack on our homeland and congress,0.368,0.537,0.095,-0.9731
